market_price,I_current,I_old,entry_price,short_size,collateral,notional,equity,leverage,pnl,collateral_status,short_status,order_status,withdrawal_fees,funding_rates,maker_taker_fees,costs,gas_fees,total_costs_from_aave_n_dydx,total_stgy_pnl,index_of_mkt_price
1574.8,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.8167219053341297,99
1575.3,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.8951212872752454,100
1572.71,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-2.9746021556133755,101
1570.76,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.0551698043746556,102
1571.78,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.1368214647020007,103
1570.84,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.2195596886983617,104
1571.77,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.3033819518364007,105
1567.55,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.3882997106831065,106
1566.2,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.4743166303996205,107
1565.7,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.5614340685878445,108
1565.74,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.649651916870837,109
1565.52,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.7389707727133388,110
1566.41,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.8293882201790352,111
1565.44,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-3.9209068928144823,112
1565.53,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.013526546503952,113
1567.27,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.10724245775162,114
1568.86,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.202050310277947,115
1567.62,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.29795347061901,116
1567.48,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.394952319057469,117
