,id,amountIn,amountInUSD,amountOut,amountOutUSD,timestamp,tokenIn,tokenOut
78,0x0005e89f8582ebdbe38b0cbe7a9a773277d9e7bb776fb33682c28c4005412c1e-208,545196208451149490,665.0821309604905535173923776816105,664000000,664,1671816239,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
79,0x0005eac78c3f4949f4b4e2c6163feb0079030be6882c276968a4e133192213ea-273,297519991439111194,361.4157159486135392279500710580066,361964351,361.964351,1672150559,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
80,0x0005fd68182f913707d94001eb70dd5669b3c40df38e757204e5caa1e98f5d63-243,3908110259,3908.110259,2568750873481335119,3900.130036749986864414249570398325,1676051015,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
81,0x000607cc9b1170897fa53e2180f3869bafb01ddd918bf53cbe7d48eaaab1b7a7-72,7440097925086047395,8136.737268637143302917327647046512,8185666632,8185.666632,1669068167,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
82,0x0006181b51e4375d4904a8f6b864771b3d6f86f56218f8c590bf019fbcf2b071-187,388096393419025026,500.9144025080792978033335991935964,500000000,500,1670204507,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
83,0x00062b2936e47f98113caf24254ebc703e445b2c5ccff6bce11381a5abb6e7c3-311,130000000000000000,157.3360312315733264087951731445154,157140915,157.140915,1671654263,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
84,0x00064665b6709a136a1a3eca9355153da033f50d77b2ec8f2e6ed4b971f674f4-351,990000000,990,783594442820526316,987.324576873590902845704747990882,1670261435,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
85,0x0006648102d8975dc859e1b718eac52e385bdad3c47aeef3adeeca3af7f5a326-153,1458420793,1458.420793,1090122987502864495,1461.644581664182116999178632022246,1673462339,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
86,0x000690c8b385c9043eb36b8c338e32ec33ce03c10510de9579560e67193484c0-224,2544182551,2544.182551,2000000000000000000,2539.063668419619177449659903962748,1670073563,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
87,0x00069b571b12903748a1f6fe55e6931d1f7c9008120239275409b2a7b3673520-45,65021385201,65021.385201,46317834422665068857,64960.38548132655420848900837246148,1673498771,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
